;Review
337;Outstanding wine list. The closest to dining in a fine London Club, without all that entails.
338;Altogether very affable and relaxed!Lovely room and table layout.Good linen, silver and glassware.Excellent service, formal but friendly.Broad-scope menu and eclectic wine list.
339;Excellent place with plenty of history and character. Really great food and service. Worth the effort of getting dressed up a little!
340;Made special request for nice table but table was small and cramped.Ordered an aperitif and a bottle of wine. Wine waiter said he would wait until we had finished our champagne before serving the wine. We said OK but then wine waiter forgot about us. We had our starter. No bread rolls offered with soup. Time passed. Chased a waiter. Could we have a glass of wine. Waiter started bringing us the wine list, not aware we had already ordered a bottle. Pointed out our bottle. Waiter brought bottle to our table and poured our wine without offering chance to taste.Partridge and gin-soaked plum v good. Lobster Newburg OK.
341;If you are in the UK, are in London, and want a modern Downtown Abbey-like British meal experience, look no further! Wiltons is an institution. While British food may not have some of the fanciness of French and Italian cuisines, British food like that at Wiltons centers on high quality meat such as fish, beef, lamb, and game, as well as classic potato and vegetable accompaniments, and all the correct sauces. Don't try to eat lamb without the mint jelly!Being a high end restaurant, there will be no difficulty in ordering perfect cocktails, champagne, and wine from the extensive list. And excellent service. Being the institution that Wiltons is, located in the heart of St. James, you will no doubt be sitting with His Grace the Duke of somewhere-or-other on one side, a well known actor on the other, and His Excellency the US Ambassador with the UK Business Secretary and their bodyguards just beyond!A must-go!
342;Outstanding food and service.  Exceptional preparations of Dover Sole.
343;Wilton’s is a trusted destination that never disappoints. The professionalism of service, while occasionally overbearing, is appreciated and the dishes are superb. When in London it is always a priority.
344;Wilton’s is a restaurant legend and it’s a MUST for London visitors who like good authentic food and amazing original atmosphere!Since 275 years Wilton’s is celebrating tradition,style and classic food on a high level!Oysters,caviar,crabs etc - Wilton’s is THE place for Seafood lovers and enthusiasts of traditional professional gastronomic experience!
345;It is always a treat to go to Wiltons. It is one of our very favourite restaurants when we come to London.
346;Paragon of excellence
347;Excellent service. Great oysters and wines. The mains were mediocre. It's a beautiful place with great history. Be mindful dress code is conservative no trainers or funky heels suit jackets and conservative dresses recommended if you don't like being looked at with curiosity
348;Simply the perfect restaurant
349;Best British Classic you will find.Defines what it means to be perfect
350;Better than ever __ Perfect combination of classics and seasonal,  great wine advice. Beautiful oysters (of  course) and great plaice!
351;Excellent service, food, and drink.  Lovely surroundings in a classic restaurant.  Great fish and game selection.
352;The atmosphere here is nice for a cosy, somewhat luxurious fall or winter evening. Service is great. Food is very average, at best,based on what i ate anyway. I wouldn't go back unless looking for atmosphere over food.
353;As ever fine food, excellent wines served efficiently and politely. Pretty much as you would expect
354;Food is OK.  The Dover sole could be better if had not been lightly burned on the skin to avoid bitterness.
355;Always a pleasure to return to Wiltons.  I am shocked when I (a frequent visitor from the States) host a London guest for the first time at this classic establishment.  Surely not to be missed.
356;Wiltons has really becomes my favourite through the years. I return again and again and I am all time surprised by the Hugh quality.
357;Delicious meal and attentive, considerate service . Thank you
358;The food was very good quality, the atmosphere pleasant and relaxed, the service attentive and friendly. We spent a nice evening and will come back
359;Outstanding food, impeccable service and incomparable staff!!!!
360;My first visit and it was delightful.The staff couldn't have been more friendly and welcoming.The food was delicious.A wonderful evening.Thank you.Michael Clarke
361;Wilton's is a superb English seafood restaurant, one of the very best. The food, wine list and service are all five star. I have been going to Wilton's for 55 years.
362;Wilton’s has always been an old standby for us.  Reliably good food, friendly and it doesn’t seem like they are just trying to turn your table as quickly as possible.  My only complaint this time was they had three two tops in a row all vacant.  They placed us in the middle one which was smack dab under a spotlight.  It was increasingly uncomfortable as the evening went on.  I asked the waiter if he could dim it which he said was impossible.  He said we could move to one of the other tables.  At this point we didn’t particularly want to move when we already had food on the table.  Later Another manager/waiter must have seen me squinting because he asked me if everything was okay...I mentioned the spotlight and he agreed but also said they couldn’t turn it down.  He suggested the next time to ask to sit in another room.   They were all very nice about it but something definitely needs to be done about their “mood lighting”:  it would be far superior to feel comfortable and relaxed while dining rather than being under an interrogation light.  Yes, it was that bad.
363;I took my husband to Wiltons for his birthday. Bearing in mind we are in our thirties I would say that most people dining there were 30-40 years older than us, so it is a little quiet but that is definitely a perk! The service was impeccable, the food delicious and we loved the old-world charm it has. Some of it (i.e the loos) could do with a spruce but if you love seafood you have to eat here at least once!
364;Es un clásico exquisito para los amantes del buen gusto q no se pueden perder!!!
365;A classic .... The best restaurant to define England's finest culinary tradition: seafood and game....especially oysters. Phillipo is a master at selecting and preparing the finest oysters from the United Kingdom.
366;My Wife And I  had a most enjoyable evening excellent food, Very pleasant staff  10/10
367;I have been going to Wiltons for more years than I care to remember.  That is in itself to the fact that it is a great place and the food and service cannot be bettered anywhere
368;Have dined at this restaurant before, and was pleased.  Last experience, however, was different.  Dinner was served too fast and the Captain literally threw the food on the table and did not return.  There was a mistake, but no one checked on us. Food was very good, as usual, but, because of bad service, the experience was disappointing.  Not likely to return anytime soon.
369;Fantastic food and ambience as usual. I'm always taken aback by the incredible service and attention to detail. A  great place to dress up a bit, and enjoy an evening of Old World luxury.
370;We love Wilton's and it continues to be a favourite. One small cricism some starters a little pricey .
371;While in London - from Switzerland,  I always enjoy local, food and drinks.
372;A quiet restaurant with good service and good food.
373;Excellent food served in a very English atmosphere.  Wilton's has been excellent for generations and lives up to its reputation and every expectation.
374;Always a great place, excellent service, knowledgable sommelier, beautiful food. In great surroundings.
375;Air con in restaurant leaking
376;"This is what a lazy weekday lunch should be like. Half a dozen perfect Jersey oysters; great roast sirloin, Yorkshire pudding and roast potatoes; and a modern take on an Eton mess; all washed down with champagne. A fine way to escape the world for a couple of hours."
377;Always a pleasure! They serve the best oysters you can wish for and cuisine quality is always up to the best standard. Service is discreet but at the same time nice and accomodating. Highly recomended.
378;Food was good, especially the strawberry souffle at the end.
379;As always, the food was excellent and the service was both professional and very friendly
380;Love dining here - it's like going back in time. The staff are brilliant and not snooty at all, given it's such an 'establishment' type of place.
381;It was like eating in a men's club. Proper formal service. Excellent food, the Dover sole was the best in London. Berry pudding for dessert was just right not to sweet. I'll be back
382;"A classic... and better with age!! Most recent visit was most impressive.  Very friendly staff despite the hush-hush gentlemen club decor; excellent fresh oysters even in Summer, dresses crab was indeed ""dressy"" and refreshing; grouse season has just begun and the bird was coooked to perfection - best time to have the dish if one not wish to be overwhelmed by pungent gamey taste.A must try London gem, a must return also!!"
383;We invited London friends we met on a cruise who had recommended the restaurant. We were greeted with a glass of great champagne, and viewed an open cart rack of pork that looked beautiful. Three of us ordered it. For the $55 price we received four very thin, small slices of pork that was overcooked, dry, and lying in a bed of sauce. I ate one piece (as did one other guest) plus one piece of roasted potato, which was great. No one ate all their pork.The desert was an absolutely wonderful apple crumble ... about the best I've ever had. The lunch for four came in at over $350, including a service charge. Two in the party had one glass of house wine each. Although the restaurant dates from about 1740, it was about the worst value for the money on our 3-week multi-city vacation.Would consider going back for a second try. Maybe the pork was just a bad choice ... but it looked too good to pass up.
384;I was looking forward to experiencing this establishment during our trip. I bit disappointing. The stage was set by a rude waiter and didn't improve a lot. The food was at best average b
385;The food and service were both exceptional...a birthday lunch to remember. We won't wait another ten years before we return!
386;Perfect service and wonderful cuisine. Will definitely return
387;Old school restaurant. Nice english type restaurant. Service very good. Wine list good. Over priced oysters. We had Salmon. Nothing special. You guys decide.
388;Perfection in every respect. Felt like an escape from the real world into a world of sheer pleasure. The staff are incredible. Food sublime and wine is delicious. Loved every minute. Thank you!
389;Our first visit to Wiltons and we were not disappointed. This is certainly a superb venue if you love fish. Tremendous food, atmosphere and excellent service.We will certainly be back when the bank balance has recovered! Expensive but worth it.
390;Food perfection however the service very attentive, at times bordering on too much so. The best apple crumble in London.
391;We loved Wiltons from the moment we walked in. It has that very warm and welcoming feeling when you walk in which comes from both the décor and table settings through to the staff. The choice of food was excellent and it all tasted delicious. A firm favourite!
392;Elegant seafood-centric British icon. An essential London experience.
393;We went for a special occasion and it was! Most memorable and we look forward to going back. The staff made us very welcome and feel as if they were only there for us.
394;All really good
395;It was very special, great food, wonderful service and a lovely atmosphere
396;The food was stunning, wild smoked salmon, native lobster newburg and summer pudding. Drinks also fantastic,  Puligny-Montrachet buy the glass via Coravin was sensational with the lobster.But it was the unobtrusive, attentive service that is truly second to none as always.
397;Treated wonderfully. Best oysters in London. Really truly recommend.
398;I have been a customer of Wiltons for over 40 years, whats happened ? Since Patrick and Sammy have left or died the place is awful. Potted shrimps uneatable and served on wet toast, dover sole thought and dry.. Its just so sad to see a landmark in steep decline. I feel that Hambro may have sold or has certainly taken his eye off the place. Even the pictures of the Royal family have been removed I will now join them.
399;We had a good table with plenty of room. The service was impeccable. The fish dishes are justifiably famous in Wilton's. We both had lobster bisque, which was delicious. Then, as a treat, lobster Thermidor.
400;A traditional visit, always a delight. Enjoy top ingredients un the respect of century old tradition.
401;Always a great experience,we thoughly enjoyed it.my only disappointment I came 10,000 miles for a Dover Sole and the waiter talked me out of it. We were chuffed that our table was the one featured on one of your post cards.____
402;Wiltons, the second oldest restaurant in London (after Rules), is sheer perfection. A happy place to eat perfectly cooked food of the highest quality . I love every thing about it
403;Great food, great service
404;We had an early evening booking, and were seated at a quiet side table which was perfect. My oysters were excellent, the scallops over-cooked and over-priced. My fish was superb, the mixed grill was dry and over-cooked. The 'fried' potatoes were chips, why not say chips on the menu??I hadn't complained about the scallops, but I did about the mixed grill and chips. Surely they can cook saute potatoes? The service was very good without being intrusive. The manager was apologetic and asked if I'd like to go back to discuss our meal. I politely declined, and suggested that maybe they rely on their name regarding the food as 3 out of 6 dishes weren't good. Very disappointed indeed.
405;Everything was superb !! Food, ambiance, service... a very nice evening
406;a very good fish restaurant in central London, a great classic with a friendly staff.
407;Every bit as good as I expected (and as I remembered from many years ago) The service is truly exceptional and the food, promptly cooked and served, delicious . Although not cheap, over £100 per person, it is great value as it is a unique dining experience.
408;Always one of our favorite places in London!The food and service was excellent
409;truly excellent old school restaurant with great service, wonderful food, not least the sea food options and the very extensive wine list, The Wiltons own white wine brand in fact provides very good quality to the price
410;Wiltons more and more tends to be my favourite in London due to high British quality of the food and drinks, excellent service and a warm ambiance.
411;For the highest quality fresh British ingredients, simply cooked to bring out the natural flavour, Wiltons is the place to go in London. Wonderful for fresh and smoked fish and for game.
412;The food as always was just perfect.  Service incredible and really enjoyable.  The bill was also incredible but that is to be expected.  We shall be back.
413;Awesome food, and the  sommelier knowledge and interaction with us made the night even more special. Great wine list.
414;Very possibly the best meal we have ever tasted! Not only was the food incredible but the service outstanding. Bravo!
415;A special occasion. My friend's first trip to London. Had to take him to the famous Wilton's which did not disappoint.
416;Fiancées birthday for which I asked special table. Which we got. Didn't ask, but got mini dessert with Happy Birthday written on it. Impeccable service and amazing food.
417;First rate in every detail. Elegant ambiance. Superb traditional English fare. More value than whatever  the final tote.
418;Fabulous as always - not only great food but the best staff in London
419;Excellent food just need more of it. The head waiter did offer us some smoked salmon to help fill the gap which was a lovely and kind gesture. However value for money I wouldn't recommend it as the portions are considerably smaller than I thought and for considerably more money. Having been several other top 10 seafood restaurants in London, this one was a little bit of a let down.
420;To be fair, the food is very high quality and it's a good place for a high-quality social meal. They have many wines, but they are quite expensive and I did not find the recommended wine really brought out the food the way I would have hoped. I find it difficult to find anything that recommends Wiltons over any similar establishment, be it Bellamy's, the Guinea Grill, or what have you. It's really quite decent, but doesn't rise to a level that I would consider it essential London dining.
421;This was our second time at Wiltons for dinner after the theatre, and it was excellent, as was the first time last year.  We will make Wiltons one of our favourite London restaurants.L
422;Platonic ideal among restaurants. Recommend smoked salmon, then Dover sole meunière off the bone with creamed spinach and jersey royals, along with impeccable service.
423;My husband and I reserved a table at Wilton's to celebrate our 25th Wedding Anniversary.  On our arrival we gave our names and there was no booking to be found.  Fortunately there was space available and they were very gracious and gave us a lovely table.  Unlike another restaurant that seated us next to the kitchen the previous evening.  The wine list was superb.  The ambiance was formal British elegance.  The service was very attentive and you were treated with great respect.  The seating was very comfortable and one did not get the feeling that  you were crammed into a space in order to fit as many people as possible.  Quintessentially British!
424;Excellent service, with very traditional well prepared food. The wine list was not extensive but very well chosen.Definitely will be a regular visit on future London trips. I have no hesitation in recommending this fine establishment.
425;Totally reliable largely traditional food, friendly service, unchanging ambiance. May be the same in another 275 years.
426;Took my other half here for birthday.  Staff were lovely, has a great old English, homely feel - even came along with a mini dessert at the end with Happy Birthday.  We ordered lobster bisque, crabmeat , monkfish and Dover sole along with a few sides which filled us to the brim and was really tasty.Only strange thing we noticed is that everyone else was shown the special of the day, but we weren't - not sure why.  We only noticed after we already had our meals so didn't do anything about it.
427;Wiltons continues to live up to expectations. Good food and service. Comfortable and relaxed. A lovely evening.
428;We have visited this restaurant on a number of occasions when we have been in London.  I'm pleased to say it never disappoints Fantastic service, fantastic food in a fantastic location.You can see why this Resturant is one of the oldest restaurants in LondonWell worth the visit
429;Wilton's never disappoints. A first class dinner with the best Dover sole in the world. Expensive, yes but worth every penny.
430;Absolutely fantastic, from the moment we walked through the door to the moment we left. Service absolutely second to none, food totally delicious, incredible (but expensive) wine list. A perfect evening, I could not recommend Wiltons highly enough!
431;Cute, cozy place. Amazing food! Wish the crowd was more trendy, otherwise if would be perfect!
432;100 per cent perfect. What a dover sole. We loved our table. We will be back. For sure. WOW!!!
433;Great seafood and good service. The ambience was calm and enjoyable without being dull. Allergy was well accommodated. Generally exemplary service was let down a couple of times later in the evening with very slow coffee and tea service and missed second digestif. The seafood was delicious and fresh as were the vegetables. Quite expensive but not surprising given the location
434;My wife and I had a wonderful experience at Wiltons for a birthday dinner.  Lovely, elegant surroundings.  Exquisite traditional British food and the service was professional and attentive without being overbearing.  It's not cheap - budget at least £100 per person if you're going a la carte.  Highly recommended for a special occasion.
435;Quintessentially High-end London.  Great fish and grills.  Staff is efficient but a bit abrupt at times.  The room is somewhat cramped but very atmospheric.  Crowd is a good mix of tourists and locals.  Definitely worth a trip.
436;Beef Wellington was outstanding
437;Fabulous service and excellent food in an old world historic dining venue.
438;Good as usual
439;Fabulous as always. Love the traditional fare, reliability and elegance.
440;Probably about my 25th visit to Wiltons. The trouble is that I expect everything to be perfect in this particular restaurant. We arrived at 1.30 and it was a very busy lunchtime . We were immediately served water, but then we were left for what seemed like ages and eventually I had to ask a waiter to bring some menus. We both chose Lobster Bisque which was terrific. But we still had not been offered any bread, so I had to request that. With the main course we decided to share 3 plates of side orders, they duly arrived but without any spoons to serve them and therefore not wishing to usher a waiter over for a third time we used our forks which was rather tricky with creamed potato. After the sweet, we needed to pay up and leave but all the waiters had disappeared, so I had to leave the table to ask for the bill. I paid the service charge in full but feel that for once I should not have done so. The quality of food was excellent as usual. Wiltons remains one of my absolute favourites, but socks may need pulling up on the service front.
441;Excellent food and service as usual in wonderful surroundings
442;As, always top-food and top-service !Marc - Belgium
443;It was perfect...historic restaurant in St James's I'd always wanted to try. So glad I was able to finally go. Ambience, food, service all superb. Open for 175 years...I can see why!
444;Wow, fabulous experience, great service, ambience.....not a surprise that Wiltons has been in continuous operation since 1742. £200 for 2, so special occasions only (for me at least), but a British classic.
445;Exceptional. Great seafood and a wonderful relaxed ambience.
446;Our favourite London restaurant!
447;"My favourite restaurant in London, especially for fish of all kinds.  Hearkens back to my early days when a good restaurant took care of you from the moment you walked in to the moment you got into your cab and left.  The food is superb, the drinks are great.  The ambience is what you'd expect for an old restaurant on Jermyn St.  I was going to say ""it's pricey"" but it transcends that into downright expensive but if you like fine dining or want to treat someone special to the quintessential fine dining experience, this will certainly serve.  I highly recommend it."
448;Wiltons has become my favourite in London. It is British with highest quality. When in London I very much like to eat British food of best quality. Wiltons provides that.
449;Absolute gem. Impeccable service. Old world British experience. Quiet romantic atmosphere where people still dress up and no one os in their cell phones - a place out of time
450;Had table booked for a birthday,food was unbelievably good highly recommend.
451;Service excellent as always but £38 for a glass of wine was a pity!
452;Our long-time favourite venue for its top quality food, service and ambiance. None better.
453;Great food, helpful staff, very expensive but worth going back again
454;A First Class Dining experience, quality food with quality service.
455;Excellent service, delicious meals. Staff very pleasant, overall exquisite experience.
456;Wonderfully elegant atmosphere and superb delicious food. Great wine and the best champagne in town
457;Words can not describe the fabulous dining experience last night at Wiltons. From start to finish everything from the food, staff, ambiance was memorable. I wanted to choose a restaurant that was fitting for my friend from the USA I had not seen for 25 years. Wiltons did not disappoint - it exceeded everyones expectations. My friend manages 7 hotels in the USA said it was the best dining experience she had for many a year.My friend and I had the tasting menu - starters sea trout - simply presented and tasted amazing.  She had the steak and kidney pudding which oozed a decadent and rich sauce as her fork glided through the pudding. I had fish which was perfect and her fiance had a omelette which he requested if he could have it made with egg yolk - our waiter checked with the chef and this was not a problem.Dessert creme brûlée with poached pears which was heaven on a plate. My friend had apple crumble which was outstanding. Petit fours - melt in your mouth gems of loveliness. Those little special touches from the staff made our dinning experience memorable.  Thank you so much - Anne, Carmen and Ron x
458;We were a 1.30 table and got a poor table as a result. In the gangway between bar area and restaurant, by the carvery station. Apart from that food and service was impeccable as usual.
459;this restaurant keeps the same top class food and service, simply the best
460;This restaurant is a rarity. The exquisite food and the attentive, pleasant staff are superb. While certainly elegant,  Wiltons is also comfortable and warm.  The night was the highlight of our stay in London. Be smart, make this restaurant the centerpiece of your dining.
461;The ambience, attention to detail and quality of the food were excellent - fresh  ingredients very well prepared.
462;I thought I would surprise my husband with a meal at Wiltons as we had never been there before but I had heard from a colleague the good was very good. I must say from the moment we arrived the service was second to none and the staff could not do enough for you. The quality of food was sublime and the wine list extensive. The only thing for me that was s little disappointing was there was no white port to enjoy with the cheeseboard. Would we return - most definitely!
463;Probably the best Dover Sole I have ever had - great food and service. Could benefit from a little background music
464;It's Wiltons. It's pretty much the best restaurant in London. Everything oozes class and comfort. OK it's crazy expensive - but other places are charging similar for sterile tasting menus that leave you hungry at the end of the night. They also let you have your table for the evening - and are in no hurry to push you out the door. Best saved for special occasions. Unless you win the lottery. Repeatedly.
465;Excellent service. Homely surroundings. Good food. Wine list could have been more varied. Too much French
466;If you want an impeccable meal in the heart of St 'James with lots of traditional dishes good wine and impeccable service you should visit Wilton's and you will  not be disappointed
467;We had a delightful evening for my husbands birthday and would highly recommend Wiltons
468;A meal at Wilton's never fails - always a really special event and wonderful food in a special place with superb and obliging staff.  And this did not disappoint - nothing negative to say, except the wine waiter could be a bit more user-friendly.
469;Lovely meal
470;Excellent food, great service and a lovely  ambience.
471;Lovely setting in the heart of the West End. You can feel the history of the place. We had the 3 courses for £38 option and was excellent.
472;I took a client and the overall experience was excellent. The mixed grill was beautiful and there was sufficient choice for everyone depending on their tastes. The wine list was reasonable at all levels
473;Very good food and wine served with great style, ambiance is excellent in an old fashioned proper way which is fun. Well worth a vistit to see how it should be done.
474;Fantastic place with a classic seafood menu executed to perfection and faultless service - go for a special occasion and treat yourself to the lobster!
475;Suitable for old fashion- lover.  Food was average.
476;very very delicious!!  In addition, I want to go!!
477;Wonderful.  I took my Mum for her Birthday and she loved it. The waitress in particular was excellent.
478;Great restaurant, you won't ever regret dining at Wiltons, probably one of the top 2 or 3 traditional restaurants in London. Great for fish and sea food!
479;Food and drink were very good, while service was not rushed. The only issue I had was a rather noisy neighboring table and being near a heavy traffic flow of waiters/waitresses  which was a little distracting. Menu was interesting enough to warrant another visit.
480;Great food in a historic Restaurant. Oysters were superb and great service
481;perfect in all, a special attention for a birthday from the service team, it was very kind
482;Had a romantic dinner with my husband. Restaurant has lots of history and is very comfortable. Food was excellent - especially the Dover sole. Great service. Would definitely return
483;We enjoyed a relaxed lunch, service was prompt, friendly and not overpowering or pressured. The roast beef with accompaniments was delicious. The sommelier's recommendation was spot on and good value. I would definitely return for another wonderful lunch.
484;As ever at Wilton’s, a good meal professionally presented!
485;This place came highly recommended from a well travelled friend and it did not disappoint. The staff and service are unparallelled.  The wines are superb. Loved this traditional place. Will return.  Value for money = Wiltons
486;A staple of any London trip, Wilton's never disappoints. Amazing food, and even more amazing staff.
487;"Wiltons is a restaurant I visit for fish; it is the ability to eat fish in gracious and pleasant surroundings that pay respect to past decor rather than trying to be ultra chic that I like.  It is a comfortable and familiar place to visit.  I do have comments to make, however, about what was on offer when I visited.  Firstly, there was no turbot on the menu.  I know that this is a fish often on Wilton's menu; it's the king of Atlantic fish and sea bass is merely the Prince !  I was quite okay with it not being available when I visited but it would have been nice to know if it was back on the menu the following week.  Being told 'no' left me with no hope but to go and find somewhere else with turbot on the menu for a future booking !The wine menu is particularly French.  There are some other wines but there is not a good selection of Italian wines.  There are so many fine Italian wines, but somehow the wine list is French dominated.  It would be pleasant if the restaurant was less Francophile and more Italophile (or even Hispanophile !) - a more varied choice on the wine list.The price per glass for wine is expensive (Macon - £14 per glass) and the charge per portion of food is high.  It would be a great boon to the diner if, perhaps, the portions were a little bigger or the wine glass just a tad fuller to offer value for the money charged.Overall it is a pleasant restaurant with attentive staff and the food is well presented and of good quality."
488;Outstanding service, great atmosphere and good food. A great place to dress up (wear a tie for example) and enjoy a fine evening.
489;This was the third time we have been dining in this good restaurant! The food has been great, but everytime they have only had one lobster left..our main waiter was very ruud so we told the  head waiter. He did his best to please us with free drinks:) we had a good evening thanks to him:) i think we will come back!
490;Wiltons is a classic,always reliable,with a club like atmosphere .The cuisine is rather British classic,too,but  set menus have been introduced,too soften the blow to the wallet.
491;Very special evening with extraordinarily good food! Definitely one of my most favourite meals of all time!
492;Wilton's offers fabulous food, discreet impeccable service and a traditional British environment. I keep going back and recommend it to anyone I know that comes to London.
493;Fantastic food and service in restaurant with great history and ambience.
494;Absolutely amazing! Every time when I come back to Wiltons I fall in love with this place more and more! Food superb, service top class! Without a doubt would recommend this place to anyone who appreciates good food and great atmosphere and service!
495;We went for an end of holiday family meal and loved our experience. It was an expensive night out but well worth it. The service and food were impeccable.
496;Had a fantastic dinner at Wiltons. Great food, great ambiance, and excellent service. It's expensive, but worth the money you spend in my opinion.
497;Although this is the game season, none was on the menu, supposedly due to the holiday. A disappointment.  Likewise,  we are seated  at a small table for two virtually on top of a table with theee loud guests.  Not a comfortable experience.I have been coming here for years. The quality has slipped, although the prices have not.
498;Very  nice food, well presented and lovely flavours.   Good selection of fish, meat & game
499;Can't argue with an institution. Old school dining done properly
500;Everything is perfect. A place you must-try. Food&Elegance. A reference.
501;"I had passed this restaurant many times on Jermyn Street and always wanted to try it, so we finally organised ourselves properly and booked just before Christmas. While small on the outside, the place is like a tardis on the inside and extends to multiple dinning areas/rooms all with a slightly different ambiance. I booked with a request for space since my wife was quite pregnant and needed to ""spread-out"". We were shown to the last dinning room which, at 730pm, was empty and seemed a bit remote. On remarking this, the maitre'd he told us that since we had booked late this was all that was available. I thought this a bit lame considering I had booked in early November but did not mention it. Thankfully this ""error"" was remedied upon his return with the menus when he apologised for the confusion, but that we were placed here because of my request for a bit of space for my wife. As further remedy he offered us a glass of champagne (or orange juice) on the house which was most kind.The place soon filled-up and actually the room was  perfect, containing 4-5 tables with a  lively atmosphere but not too much noise. The other rooms also became full and were a lot more lively but quite noisy. If looking for a catch-up with friends and family, our place was perfect, if looking for a lively night out, the other rooms may better suit if you can talk loudly!The menu was extensive and had options for a good value set-menu, as well as a more pricey a la carte. There was also a ""carving trolley"" which on Saturday night was  Beef Wellington. Unfortunately they were already down to the last 2 pieces which we quickly commandeered so that was it for the rest of the unfortunate diners. We  ""unfortunates"" had fish stew and lamb which could not beat the beef but was still very good. The wine menu was very extensive although I would say a bit pricey. The service was excellent - always there but not over fussy.All in all, our new favourite restaurant in London and sure to return!"
502;Excellent food and impeccable service !!
503;the service and all the staff was excellent and very professional as well as very friendly. the quality of food as well the raw material was top. also the wine list was very good but i would expect more wine labels from   Mediterranean i.e. Greece.any may I would suggest Wilton's to other people for special and not only occasions, indeed is very authentic , traditional and very British.we were a company of five people and we had an excellent time.
504;Old school ambience & food brought up to date a bit without losing the whole point of the Wilton's experience.  A difficult trick but a successful one.
505;"Friendly attentive staff. Delicious fish. Traditional cuisine. Does what it says on the ""tin"""
506;I have been dining at Wiltons for over 20 years in the run up to Christmas, and it does not fail to deliver.  Sadly too many Oligarchs and FTSE 100 Directors now dine there, that Wiltons have increased their menu and especially wine list prices to take advantage, such that you have to depend on a good win on the horses to not baulk at the bill, following an excellent 3 hours of company, food and atmosphere.
507;Wiltons never disappoints - always reliably superb.An expensive class act and so enjoyable.In particular, the service is spot on, as befits such an up market establishment.
508;What is not to like at Wiltons? Quintessential British Ambience, Impeccable Service,Simply Delicious!Request a booth.
509;Wilton's is an historic restaurant and I suspect has not changed much from the early 20th Century. The food is mainly fish and a speciality, very traditional and usually very good, served beautifully albeit often tepid! The service is respectful and efficient .The ambiance is pure period, diners walk into another world, velvet drapes, mirrors, cubicles, white table cloths and old paintings help recapture a bygone age.
510;Absolutely amazing! Love this place! Best oysters! Service  great! I can't fault this place!!
511;Enjoyed a wonderful dinner of caviar, stilton soufflé , one of us had sole and another had halibut - both were cooked perfectly, Brussel sprout leaves, and spica and it all was delicious.
512;Wilton's is a true delight. The food, service, and ambiance are top notch. Absolutely 5 stars.
513;This was the best restaurant experience I have ever had. Everything from the food to the service was perfect. Wiltons makes you feel like a million bucks.
514;"I was treated to a meal at Wiltons  40 years ago; the memory lingered and this week my wife and I decided to give each other to what we confidently expected to be an excellent Christmas treat. We were not disappointed. We both had Dover sole, which was fantastic - but my wife wants to go back tomorrow for a second go at the blackberry soufflé. We will be back soon."
515;My favorite restaurant in London.  I always plan at least one meal at Wilton's on each visit from the States.
516;Wiltons is quintessentially superb. Among the very finest of London's restaurants and the most consistently perfect.
517;Lives up to it's reputation. A classic. Everything spot on.  Faultless service,  a wow for the wine lover... make sure there is plenty of money available on the credit card !!  Only one BUT: A long thin restaurant so not many good tables. You are along the side walls sitting opposite each other.  We were given a table up in the corner.  One looking into the restaurant the other staring at the back wall. No option to move elsewhere.  We changed places half way through the meal. On out next visit  we'll not  go to the restaurant we'll go to a table in the restaurant.
518;I went to Wilton's for a game dinner and for the first time in my life I have eaten a properly cooked grouse. The game consomme' was outstanding and the wild rabbit a rare treat, not I was disappointed at all by the venison fillet. The wine pairing was nicely chosen although not execeptional (and not surprisingly all the wines were French). The staff is extremely kind and professional. They made us feel special guest although for me it was the first time that I went there. I'm looking forward to having the chance to try the a la carte menu.
519;Wow what an evening we had at Wiltons The service, food, atmosphere were all outstanding.We went for a birthday celebration and felt this justified the cost of the meal and numerous drinks!Well worth it and can't wait to go there again
520;Probably the best old school restaurant in London.                                                   Hans Nagar
521;Wiltons food and service is always a joy and my visit was no exception. The wine list is great but pricey
522;We enjoyed a very nice dinner at Wiltons.  It's a London institution and was recommended to us by a friend who is a foodie. I would call the atmosphere formal, but not stuffy. The service is impeccable.  The food was very good, with some interesting options  and the wine list is extremely impressive, although it could benefit from a few more economical choices.  With a shared appetizer, 2 entrees, dessert and a bottle of wine be prepared to spend at least £100/person.
523;High British Cuisine at its best...I Loved the place, the Food and service..... I had the Dressed Crab and the Grouse..... Both lovely dishes.... Highly recomended and simply splendid!
524;I WAS VERY DISSAPPOINTED TO FIND THAT YOUR DRESS CODE HAS BEEN FLUSHED DOWN THE LOO. I ENDED UP SITTING NEXT TO SOMEONE WEARING A JUMPER & JEANS. I WENT TO THE TROUBLE OF WEARING A SUIT & TIE
525;We find our evening at Wilton's on every London trip to be a highlight. It embodies the essence of Modern British cooking with beautiful rooms (and a great bar at the entrance) and absolutely exquisite and professional service. The trolley at Lunch or Dinner offers a beautiful dish each night (this night it was a medium rare Rack of Veal) and ordering off the regular menu suggests so many options be it apps (from native oysters through to a simple, gorgeous rocket salad with shaved parmesan) to mains (great, pristine seafood to a perfect Chateaubriand for two)l desserts measure up as well (try the unusual slice of creme brûlée, standing vertical with dots of cream chantilly around). It is expensive but don't we all need a place to celebrate?No place does it better.
526;Leaving the resaurant  feeling that we were there for them rather than that they were there for us is a shame.
